Title,Category,Description,Target Audience,Discipline,Estimated Minutes,Status,Difficulty,Source Type,Source File,Tags,Prerequisites
High Energy Proton SEE Test - iMX,Hardware & Subsystems,Single event effects testing procedure for iMX,Graduate,Electrical,60,Published,Advanced,Markdown,High Energy Proton SEE Test Setup - iMX.md,testing;radiation,
High Energy Proton SEE Test - Jetson AGX,Hardware & Subsystems,SEE testing setup for Jetson AGX Orin,Graduate,Electrical,60,Published,Advanced,Markdown,High Energy Proton SEE Test Setup - Jetson AGX Ori.md,testing;radiation,
TID Test Setup - Jetson,Hardware & Subsystems,Total ionizing dose test procedure for Jetson,Graduate,Electrical,45,Published,Advanced,Markdown,TID Test Setup - Jetson.md,testing;radiation,
TID Test Guideline Research,Hardware & Subsystems,Research guidelines for TID testing,Graduate,Electrical,30,Published,Advanced,Markdown,TID Test Guideline Research.md,testing;radiation;research,
IMX v2 Board Software Compatibility,Hardware & Subsystems,Software compatibility testing for IMX v2 board,Graduate,Electrical,45,Published,Advanced,Markdown,IMX v2 board software compatibility testing.md,testing;avionics,
RadLab Environmental Data APP,Hardware & Subsystems,How to use RadLab environmental data application,Graduate,Electrical,30,Published,Intermediate,Markdown,RadLab Environmental Data APP How To.md,testing;tools,
Payload Software,Hardware & Subsystems,Payload software integration overview,Graduate,Software,60,Published,Advanced,Markdown,Payload Software.md,payload;integration,
UNP Mission Design Course,Mission Design & Analysis,Complete NASA mission design course presentation,Graduate,Aerospace,180,Published,Advanced,PDF,UNP_Mission_Design_Course_Presentation.pdf,nasa;mission;course,Getting Started
Orbit Simulations - Targeting SMA,Mission Design & Analysis,Orbital mechanics tutorial on semi-major axis targeting,Graduate,Aerospace,60,Published,Intermediate,Markdown,Orbit Simulations #1 - Targetting SMA.md,orbits;simulation,
How Many Satellites for 24hr Surveillance,Mission Design & Analysis,Constellation design for continuous coverage,Graduate,Aerospace,45,Published,Intermediate,Markdown,How Many Satellites Are Needed For 24 Hour Surveil.md,constellation;orbits,
GMAT Tutorial,Mission Design & Analysis,General Mission Analysis Tool tutorial and exercises,Graduate,Aerospace,90,Published,Intermediate,Markdown,Download GMAT 2025a Do the Tutorial.md,gmat;tools,
GMAT Development User Guide,Mission Design & Analysis,GMAT software development guide,Graduate,Aerospace,120,Published,Advanced,PDF,GMAT_Development_UserGuide.pdf,gmat;reference,GMAT Tutorial
GMAT Users Guide,Mission Design & Analysis,Comprehensive GMAT users manual,Graduate,Aerospace,240,Published,Intermediate,PDF,GMAT_UsersGuide.pdf,gmat;reference,GMAT Tutorial
Satellite Operations,Mission Design & Analysis,Satellite operations procedures and best practices,Graduate,Aerospace,60,Published,Intermediate,PDF,8_UNP_Satellite_Operations_Presentation.pdf,nasa;operations,
SpaceX Rideshare Payload Guide,Mission Design & Analysis,SpaceX rideshare integration requirements,Graduate,Aerospace,75,Published,Advanced,Markdown,SpaceX Rideshare Payload User's Guide (RPUG).md,launch;integration,
ConOps and Experiment Plan,Mission Design & Analysis,Concept of operations and experiment planning,Undergraduate,All,45,Published,Intermediate,PDF,5_UNP_EAT_ConOps_and_Experiment_Plan_Presentation.pdf,nasa;planning,Mission Definition
Systems Engineering Part 1,Systems Engineering,Introduction to systems engineering methodology,Undergraduate,Systems,60,Published,Beginner,PDF,1_UNP_EAT_Systems_Engineering_Part_1_Presentation.pdf,nasa;se;fundamentals,Getting Started
Systems Engineering Part 2,Systems Engineering,Systems engineering processes and documentation,Undergraduate,Systems,60,Published,Intermediate,PDF,4_UNP_EAT_Systems_Engineering_Part_2_Presentation.pdf,nasa;se;process,Systems Engineering Part 1
Systems Engineering Part 3,Systems Engineering,Advanced systems engineering practices,Undergraduate,Systems,60,Published,Intermediate,PDF,6_UNP_EAT_Systems_Engineering_Part_3_Presentation.pdf,nasa;se;advanced,Systems Engineering Part 2
SCR/SRR Expectations,Systems Engineering,System Concept Review and System Requirements Review expectations,Undergraduate,Systems,30,Published,Intermediate,PDF,3_UNP_EAT_SCR_SRR_Expectations_Presentation.pdf,nasa;reviews,Systems Engineering Part 1
Mission Assurance,Systems Engineering,Quality assurance and mission reliability practices,Undergraduate,All,30,Published,Intermediate,PDF,7_UNP_EAT_Mission_Assurance_Presentation.pdf,nasa;quality,Systems Engineering Part 1
Read UNP User's Guide Section 2,Systems Engineering,Study assignment for UNP user guide section 2,Undergraduate,All,45,Published,Beginner,Markdown,read UNP user's guide section 2.md,assignment;reading,UNP Nanosatellite User Guide
